Nazwa przedmiotu	Rok studiów	Prowadzący	Limit miejsc	Forma zaliczenia sem. zimowy	Forma zaliczenia sem. letni	Liczba godzin sem. zimowy	Liczba godzin sem. letni	ECTS semestr zimowy	ECTS semestr letni	ECTS łącznie	Wydział	Jednostka	Dzień tygodnia	Godzina rozpoczęcia	Godzina zakończenia	Sala	Dodatkowe informacje o zaliczeniu	Uwagi	Semestr
Kształcenie słuchu z partyturą orkiestrową	3L	dr hab. Tomasz Kienik	5	zst	egz	2	2	2	2	4	I		poniedziałek	08:50	10:20	301B		Przedmiot rekomendowany studentom kompozycji i teorii muzyki	
Kultura i sztuka Baroku na Śląsku 1648-1741	3L	dr Dariusz Galewski	30	zal	zst	2	2	2	2	4	I		piątek	10:05	11:35	001E			
Literatura muzyczna 1	1L	dr Miłosz Kula	15	zst	zst	2	2	2	2	4	I		poniedziałek	13:50	15:20	001E		Od starożytności do XVIII w.	
Literatura muzyczna 2	2L	dr Aleksandra Pijarowska, prof. AMKL	2	zst	egz	2	2	2	2	4	I		środa	11:00	12:30	301B		Kontynuacja "Literatury muzycznej 1"	
Metodologia pracy naukowej	2L	prof. dr hab. Anna Granat-Janki	2	zst	egz	1	1	1	1	2	I		środa	14:15	15:00	202B			
Metody analityczne w XX i XXI wieku	1M	dr hab. Tomasz Kienik	2	zal	zst	2	2	2	2	4	I		czwartek	10:00	11:30	301B			
Muzyka a humanistyka	2M	dr Katarzyna Bartos	15	zst	egz	2	2	2	3	5	I		czwartek	13:10	14:40	005D		Fakultet dla studentów Wydziału Instrumentalnego.	
Muzyka i media	2L	mgr Joanna Kołodziejska	10	zal	zst	1	1	1	1	2	I		wtorek	16:40	18:10	002E			
Muzyka polska XX i XXI wieku	2L	dr Aleksandra Pijarowska, prof. AMKL	2	zst	egz	2	2	2	2	4	I		środa	12:35	14:05	301B			
Muzyka XX i XXI wieku 1	1M	prof. dr hab. Anna Granat-Janki	5	zst	zst	2	2	2	2	4	I		środa	11:00	12:30	202B			
Muzyka XX i XXI wieku 2	2M	dr Katarzyna Bartos	10	zst	egz	2	2	3	3	6	I		środa	13:10	14:40	203B		Kontynuacja "Muzyki XX i XXI wieku 1"	
Nowoczesne metody zarządzania zespołem	3L	dr hab. Robert Kurdybacha	15	zst	zst	1	1	1	1	2	I		czwartek	15:15	16:45	301B		Realizacja w podwójnym wymiarze godzin w ustalonych przez prowadzącego terminach	
Organizacja życia muzycznego	2L	dr Miłosz Kula	10	zal	zst	1	1	1	1	2	I		poniedziałek	12:00	12:45	001E			
Orkiestra muzyki XX i XXI wieku	wszystkie lata	dr hab. Robert Kurdybacha	b.o.	zal	zal	2	2	3	3	6	I		czwartek	17:00	20:00	102E			
Paleografia muzyczna	1M	dr Grzegorz Joachimiak	5	zal	zst	2	2	2	2	4	I		czwartek	12:30	14:00	002E			
Podstawy instrumentacji i kompozycji	2L	dr Grzegorz Wierzba	2	zal	zst	1	1	1	1	2	I		środa	09:40	10:25	404B			zimowy
Podstawy realizacji nagrań	3L	mgr Kamil Biedrzycki	5	zst	-	2	-	2	-	2	I		poniedziałek	10:30	12:00	112SKK			
Podstawy reżyserii dźwięku	1M	mgr Kamil Biedrzycki	3	zal	zst	1	1	1	1	2	I		poniedziałek	17:00	20:00	112SKK			
Praktyki orkiestrowe	wszystkie lata	opiekun mgr Jan Bielak	b.o.	zal	zal	1	1	2	2	4	I		zajęcia w blokach, terminy ustali prowadzący						
Propedeutyka kompozycji komputerowej	3L	lic. Maciej Michaluk	2	zst	egz	2	2	2	2	4	I		środa	12:30	14:00	112SKK			
Propedeutyka muzyki teatralnej i filmowej	3L	dr Michał Ziółkowski /  mgr Ignacy Wojciechowski	2	zst	egz	2	2	2	2	4	I		wtorek	12:15	13:45	112SKK			
Psychologia twórczości	2L	dr Amelia Golema	5	zal	zst	2	2	2	2	4	I		czwartek	10:00	11:30	217A			
Publicystyka muzyczna	2M	mgr Joanna Kołodziejska	10	zst	egz	2	2	3	3	6	I		środa	11:30	13:00	005D			
