Nazwa przedmiotu	Rok studiów	Prowadzący	Limit miejsc	Forma zaliczenia sem. zimowy	Forma zaliczenia sem. letni	Liczba godzin sem. zimowy	Liczba godzin sem. letni	ECTS semestr zimowy	ECTS semestr letni	ECTS łącznie	Wydział	Jednostka	Dzień tygodnia	Godzina rozpoczęcia	Godzina zakończenia	Sala	Dodatkowe informacje o zaliczeniu	Uwagi	Semestr
Kontrapunkt	3L	dr Tomasz Kulikowski	2	zst	zst	1	1	1	1	2	IV		wtorek	14:00	14:45	101B			
Kształcenie słuchu 1 (grupa 1)	1L	wykł. Michał Kanafa	2	zst	zst	2	2	2	2	4	IV		poniedziałek	12:00	13:30	001B			
Kształcenie słuchu 1 (grupa 2)	1L	prof. dr hab. Ewa Grygar	2	zst	zst	2	2	2	2	4	IV		wtorek	12:15	13:45	114A			
Kształcenie słuchu 2 (grupa 1)	2L	wykł. Michał Kanafa	2	zst	zst	2	2	2	2	4	IV		poniedziałek	13:45	15:15	001B			
Kształcenie słuchu 2  (grupa 2)	2L	prof. dr hab. Ewa Grygar	2	zst	zst	2	2	2	2	4	IV		środa	08:45	10:45	114A			
Literatura chóralna 1	1M	prof. dr hab. Marta Kierska-Witczak	3	zst	zst	1	1	1	1	2	IV		czwartek	10:30	11:15	101B			
Literatura chóralna 2	2M	prof. dr hab. Marta Kierska-Witczak	3	egz	-	1	-	1	-	1	IV		środa	12:15	13:00	101B			
Literatura chóralna XX i XXI wieku	1M	wykł. Kacper Kubiak	7	zst	zst	1	1	2	2	4	IV		poniedziałek	12:55	13:40	101B			
Literatura chóralna XX i XXI wieku	2M	wykł. Kacper Kubiak	7	zst	egz	1	1	2	2	4	IV		poniedziałek	15:30	16:15	101B			
Liturgika	1L	o.dr R. Tomczak	4	zst	egz	2	2	2	2	4	IV		poniedziałek	14:00	15:30	114A			
Metody animacji społeczno-kulturalnej 1	1L	mgr A. Szymańska	6	-	zst	-	1	-	2	2	IV		czwartek	10:30	11:15	114A			
Metody animacji społeczno-kulturalnej 2	1M	mgr A. Szymańska	6	zst	-	2	-	3	-	3	IV		czwartek	08:45	10:15	114A			
Metodyka prowadzenia zespołów	1M	prof. dr hab.   Marta Kierska-Witczak	4	zst	egz	2	2	2	2	4	IV		czwartek	08:45	10:15	101B			
Orkiestra Smyczkowa Wydziału Edukacji Muzycznej - pierwszy dzień prób	wszystkie lata	prof. dr hab. Helena Tomaszek-Plewa/ wykł. Michał Kanafa	b. o.	zst	zst	4	4	4	4	8	IV		poniedziałek	15:30	17:00	001B			
Orkiestra Smyczkowa Wydziału Edukacji Muzycznej - drugi dzień prób	wszystkie lata	prof. dr hab. Helena Tomaszek-Plewa/ wykł. Michał Kanafa	b. o.	zst	zst	4	4	4	4	8	IV		czwartek	11:30	13:00	001B			
Podstawy animacji społeczno-kulturalnej	1L	mgr A. Szymańska	6	zst	-	2	-	4	-	4	IV		czwartek	10:30	12:00	114A			
Podstawy języka łacińskiego	1L	mgr A. Krajczyk	3	zst	zst	1	1	1	1	2	IV		piątek	11:45	12:30	001F			
Promocja i marketing dóbr kultury	2M	mgr Joanna Polak	14	zst	zst	2	2	2	2	4	IV		piątek	15:00	16:30	001E			
Rytmika	1L	mgr Barbara Ciupidro	4	zal	zst	2	2	1	1	2	IV		piątek	08:00	09:30	204E			
Seminarium prelekcji muzycznej	1L	dr Maria Zawartko	3	zal	zst	1	1	1	1	2	IV		wtorek	09:30	10:15	101B			
Schola gregoriańska	3L	o.dr R. Tomczak	6	zst	zst	1	1	2	1	3	IV		poniedziałek	13:00	13:45	114A			
Specjalistyczne kształcenie słuchu	1M	wykł. Michał Kanafa	4	zst	zst	1	1	2	2	4	IV		środa	12:15	13:00	001B			
Śpiew liturgiczny	1L	mgr Włodzimierz Ruciński	6	zst	egz	1	1	1	1	2	IV		wtorek	15:00	15:45	114A			
Wiedza o kulturze	1M	wykł. Kacper Kubiak	8	zst	zst	2	2	2	3	5	IV		poniedziałek	11:15	12:45	101B			
Wprowadzenie do zbiorowej emisji głosu	1L	prof. dr hab. Agnieszka Franków-Żelazny	8	zst		2		1		1	IV		poniedziałek	08:30	10:00	001B			
Wykorzystanie multimediów w edukacji i animacji	1M	mgr Maciej Wojciechowski	6	-	zst	-	1	-	2	2	IV		wtorek	15:10	15:55	001F			
Zarządzanie projektami	1M	mgr Maciej Wojciechowski	6	-	zst	-	2	-	3	3	IV		wtorek	16:00	17:30	001F			
Zbiorowa emisja głosu z praktyką	2L	mgr Kacper Kubiak	10	zst	zst	2	2	1	1	2	IV		poniedziałek	13:50	15:20	101B			
Big-band	L/M	dr Bartosz Pernal	8	zst	zst	3	3	2	2	4	V		środa	12:30	14:45	-001D			
Produkcja muzyczna	L/M	dr Przemysław Jarosz	4	zal	zst	1	1	1	1	2	V		termin ustali prowadzący						
Historia muzyki jazzowej z literaturą (grupa 1)	L	prof. dr hab. Jacek Meira	5	zst	zst	2	2	2	2	4	V		wtorek	11:15	12:45	-001D			
Historia muzyki jazzowej z literaturą (grupa 2)	L	prof. dr hab. Jacek Meira	5	zst	zst	2	2	2	2	4	V		wtorek	12:45	14:15	-001D			
